State,Capital,Date,Temp_Max,Temp_Min,Rain_Sum,UV_Index,Precipitation_Probability
Uttarakhand,Dehradun,2025-08-19,30.8,24.5,0.0,4.45,80
Uttarakhand,Dehradun,2025-08-20,30.5,23.9,0.0,4.8,77
Uttarakhand,Dehradun,2025-08-21,29.7,22.5,0.0,3.6,66
Uttarakhand,Dehradun,2025-08-22,30.5,23.6,0.0,6.7,84
Uttarakhand,Dehradun,2025-08-23,28.8,23.9,0.0,6.65,97
Uttarakhand,Dehradun,2025-08-24,30.0,23.9,0.0,6.85,100
Uttarakhand,Dehradun,2025-08-25,29.0,23.9,0.0,5.55,94
Uttarakhand,Dehradun,2025-08-26,31.6,23.7,0.0,5.45,87
West Bengal,Kolkata,2025-08-13,31.7,27.7,0.0,7.9,58
West Bengal,Kolkata,2025-08-14,32.5,26.8,0.0,6.5,85
West Bengal,Kolkata,2025-08-15,32.1,26.5,0.0,8.45,78
West Bengal,Kolkata,2025-08-16,32.7,26.5,0.0,8.75,45
West Bengal,Kolkata,2025-08-17,32.7,26.5,0.0,8.6,81
West Bengal,Kolkata,2025-08-18,30.6,26.4,0.0,7.0,95
West Bengal,Kolkata,2025-08-19,30.0,26.1,0.0,7.4,93
West Bengal,Kolkata,2025-08-20,32.2,26.2,0.0,7.1,66
West Bengal,Kolkata,2025-08-21,33.9,26.8,0.0,6.9,59
West Bengal,Kolkata,2025-08-22,34.7,26.8,0.0,7.6,58
West Bengal,Kolkata,2025-08-23,33.7,27.6,0.0,6.35,75
West Bengal,Kolkata,2025-08-24,33.6,27.4,0.0,7.35,79
West Bengal,Kolkata,2025-08-25,34.1,26.8,0.0,7.35,70
West Bengal,Kolkata,2025-08-26,31.8,26.7,0.0,6.55,77
Jammu and Kashmir,Srinagar,2025-08-13,29.9,20.4,0.0,8.7,38
Jammu and Kashmir,Srinagar,2025-08-14,22.7,20.4,4.1,8.75,98
Jammu and Kashmir,Srinagar,2025-08-15,22.2,19.0,0.0,5.5,74
Jammu and Kashmir,Srinagar,2025-08-16,28.8,17.9,0.0,8.7,13
Jammu and Kashmir,Srinagar,2025-08-17,29.7,19.7,0.0,7.65,15
Jammu and Kashmir,Srinagar,2025-08-18,24.0,18.9,0.0,8.25,65
Jammu and Kashmir,Srinagar,2025-08-19,24.5,17.5,0.0,6.85,58
Jammu and Kashmir,Srinagar,2025-08-20,26.7,16.1,0.0,7.35,65
Jammu and Kashmir,Srinagar,2025-08-21,28.6,15.3,0.0,8.3,19
Jammu and Kashmir,Srinagar,2025-08-22,29.3,16.9,0.0,8.25,39
Jammu and Kashmir,Srinagar,2025-08-23,30.1,20.8,0.0,8.25,99
Jammu and Kashmir,Srinagar,2025-08-24,31.4,21.4,0.0,8.25,100
Jammu and Kashmir,Srinagar,2025-08-25,31.5,21.1,0.0,8.2,100
Jammu and Kashmir,Srinagar,2025-08-26,24.7,18.5,0.0,4.65,99
Ladakh,Leh,2025-08-13,24.9,19.1,0.0,4.25,10
Ladakh,Leh,2025-08-14,22.2,18.3,0.0,6.1,16
Ladakh,Leh,2025-08-15,27.2,17.9,0.0,6.35,3
Ladakh,Leh,2025-08-16,26.2,17.9,0.0,6.3,0
Ladakh,Leh,2025-08-17,25.9,14.6,0.0,6.3,3
Ladakh,Leh,2025-08-18,22.5,18.0,0.0,5.95,0
Ladakh,Leh,2025-08-19,23.2,20.8,0.0,5.4,2
Ladakh,Leh,2025-08-20,32.6,16.5,0.0,5.8,13
Ladakh,Leh,2025-08-21,23.8,16.3,0.0,5.2,23
Ladakh,Leh,2025-08-22,20.9,14.8,0.3,4.1,19
Ladakh,Leh,2025-08-23,19.9,15.0,0.3,5.45,29
Ladakh,Leh,2025-08-24,23.6,14.0,0.0,5.7,26
Ladakh,Leh,2025-08-25,24.4,14.3,0.0,5.1,17
Ladakh,Leh,2025-08-26,20.4,16.8,0.0,4.35,13
